episode,reward,loss,epsilon
1,-20.0,0,1.0
2,-8.0,1.3695530891418457,0.9995
3,-20.0,2.686504602432251,0.9985007498750001
4,-20.0,2.6705394983291626,0.9975024987503127
5,-20.0,2.6660391092300415,0.9965052456271871
6,-1.0,2.6342244148254395,0.9955089895078715
7,-20.0,2.6806206703186035,0.9945137293956111
8,-20.0,2.5949617624282837,0.993519464294648
9,-20.0,2.578220248222351,0.9925261932102195
10,-13.0,2.684105634689331,0.9915339151485576
11,-20.0,2.5458784103393555,0.990542629116888
12,-20.0,2.5958354473114014,0.9895523341234285
13,-20.0,2.5577785968780518,0.9885630291773887
14,-20.0,2.497186064720154,0.9875747132889687
15,-20.0,2.5076287984848022,0.9865873854693582
16,-20.0,2.4967918395996094,0.9856010447307353
17,-20.0,2.4848811626434326,0.9846156900862658
18,-4.0,0,0.9846156900862658
19,-20.0,2.529826045036316,0.9836313205501022
20,-20.0,2.4831992387771606,0.9826479351373822
21,-20.0,2.461138606071472,0.9816655328642288
22,-13.0,2.3966933488845825,0.9806841127477479
23,-12.0,1.208289384841919,0.9801937706913741
24,-20.0,2.418723940849304,0.9792138219691255
25,-20.0,2.4223464727401733,0.978234852950612
26,-20.0,2.4358811378479004,0.9772568626563747
27,-20.0,2.4003536701202393,0.976279850107934
28,-13.0,2.3380714654922485,0.9753038143277888
29,-20.0,2.4003937244415283,0.9743287543394147
30,-20.0,2.3195512294769287,0.973354669167264
31,-20.0,2.2692439556121826,0.972381557836764
32,-20.0,2.3567594289779663,0.9714094193743169
33,-20.0,2.2460601329803467,0.9704382528072976
34,-20.0,2.2151753902435303,0.9694680571640535
35,-20.0,2.2180014848709106,0.9684988314739038
36,-20.0,2.2448229789733887,0.9675305747671379
37,-2.0,0,0.9675305747671379
38,-6.0,2.132076382637024,0.9665632860750146
39,-20.0,2.1055028438568115,0.9655969644297613
40,-20.0,2.079126238822937,0.9646316088645728
41,-20.0,2.076824903488159,0.9636672184136105
42,-20.0,2.0700526237487793,0.9627037921120016
43,-2.0,0,0.9627037921120016
44,-13.0,2.0626405477523804,0.9617413289958378
45,-20.0,1.9750044345855713,0.9607798281021742
46,0.0,1.0415372848510742,0.9602994381881231
47,-1.0,1.943346381187439,0.9593393788247946
48,-20.0,1.918145775794983,0.9583802792808146
49,-20.0,2.0099505186080933,0.9574221385966036
50,-16.0,1.8760813474655151,0.9564649558135419
51,-20.0,1.7957215905189514,0.9555087299739674
52,-6.0,1.8442454934120178,0.954553460121176
53,-20.0,1.7184237241744995,0.95359914529942
54,4.0,1.922278106212616,0.952645784553907
55,-8.0,1.802486002445221,0.9516933769307994
56,-20.0,1.6149462461471558,0.9507419214772129
57,-6.0,1.5656836032867432,0.9497914172412162
58,5.0,0,0.9497914172412162
59,-13.0,1.5727746486663818,0.9488418632718294
60,-20.0,1.4158849120140076,0.9478932586190235
61,-20.0,1.655433714389801,0.9469456023337193
62,-6.0,0,0.9469456023337193
63,-13.0,1.5139074325561523,0.9459988934677862
64,-20.0,1.2568146586418152,0.9450531310740419
65,-13.0,1.1311384439468384,0.9441083142062507
66,-12.0,0.5241389274597168,0.9436362600491477
67,-20.0,1.037013828754425,0.9426928596981636
68,-20.0,0.9598986506462097,0.9417504025116805
69,-6.0,0,0.9417504025116805
70,-20.0,1.0768113136291504,0.9408088875467696
71,-20.0,0.7499020099639893,0.9398683138614449
72,-20.0,0.8071472644805908,0.938928680514662
73,-1.0,0.8826130032539368,0.9379899865663176
74,-13.0,0.6281338036060333,0.937052231077248
75,-13.0,0.5842107534408569,0.9361154131092286
76,-20.0,0.6287323534488678,0.9351795317249728
77,-13.0,0.5188001692295074,0.9342445859881309
78,-13.0,0.5331942737102509,0.9333105749632893
79,-20.0,0.3667701780796051,0.9323774977159699
80,-13.0,0.42811426520347595,0.9314453533126285
81,-20.0,0.47672922909259796,0.9305141408206543
82,-20.0,0.2628950923681259,0.9295838593083691
83,-3.0,0.46958209574222565,0.9286545078450257
84,-20.0,0.5634140968322754,0.9277260855008077
85,-3.0,0.3273005187511444,0.9267985913468284
86,-3.0,0.3643341064453125,0.9258720244551295
87,-20.0,0.41929736733436584,0.9249463838986807
88,-20.0,0.4008963108062744,0.9240216687513781
89,-20.0,0.2644667625427246,0.923097878088044
90,-20.0,0.43332064896821976,0.9221750109844257
91,-13.0,0.25991735607385635,0.9212530665171942
92,-6.0,0.20825990289449692,0.9203320437639437
93,-20.0,0.24114865064620972,0.9194119418031909
94,-10.0,0.04961497709155083,0.9189522358322894
95,7.0,0.26741381362080574,0.9180335133345161
